name,age,email,phone,city,state,pincode,orders,order_id,last_order_date,total_spend,customer_type,customer_tenure_days,order_year,order_month,order_day,total_spend_normalized
NITHIN,27,nithin167@gmail.com,9467346661,Vizag,Andhra Pradesh,520020,4,ORD1167,2024-12-29,2000,REGULAR,360,2024,12,Sunday,0.0068493151
TEJA,27,teja170@gmail.com,9432921287,Guntur,Andhra Pradesh,520783,136,ORD1170,2024-12-28,68000,LOYAL,361,2024,12,Saturday,0.9109589041
UNKNOWN,32,priya10@gmail.com,9985138335,Secunderabad,Telangana,513495,133,ORD1010,2024-12-28,66500,LOYAL,361,2024,12,Saturday,0.8904109589
NEHA,26,neha41@gmail.com,9809757177,Vijayawada,Andhra Pradesh,504769,17,ORD1041,2024-12-27,8500,REGULAR,362,2024,12,Friday,0.09589041100000001
MOUNIKA,18,mounika122@gmail.com,9970623964,Secunderabad,Telangana,514656,148,ORD1122,2024-12-22,74000,LOYAL,367,2024,12,Sunday,0.9931506849
MAHESH,47,mahesh74@gmail.com,9820126851,Hyderabad,Telangana,529612,42,ORD1074,2024-12-20,21000,REGULAR,369,2024,12,Friday,0.2671232877
GOUTHAM,27,goutham52@gmail.com,9902458843,Secunderabad,Telangana,520464,121,ORD1052,2024-12-18,60500,LOYAL,371,2024,12,Wednesday,0.8082191781
SRAVANI,32,sravani173@gmail.com,9806357290,Warangal,Andhra Pradesh,518737,73,ORD1173,2024-12-18,36500,REGULAR,371,2024,12,Wednesday,0.4794520548
ANUSHA,19,anusha183@gmail.com,9295078628,Hyderabad,Telangana,519091,102,ORD1183,2024-12-17,51000,LOYAL,372,2024,12,Tuesday,0.6780821918000001
HARSHA,24,harsha155@gmail.com,9775973135,Vizag,Andhra Pradesh,528815,40,ORD1155,2024-12-14,20000,REGULAR,375,2024,12,Saturday,0.2534246575
ANUSHA,29,anusha199@gmail.com,9872358951,Secunderabad,Telangana,511805,47,ORD1199,2024-12-12,23500,REGULAR,377,2024,12,Thursday,0.301369863
UNKNOWN,32,mounika3@gmail.com,9982889659,Hyderabad,Andhra Pradesh,502494,138,ORD1003,2024-12-11,69000,LOYAL,378,2024,12,Wednesday,0.9246575342000001
SWATHI,32,swathi26@gmail.com,9623139815,Hyderabad,Andhra Pradesh,509398,20,ORD1026,2024-12-11,10000,REGULAR,378,2024,12,Wednesday,0.11643835620000001
DIVYA,42,divya48@gmail.com,9215496501,Hyderabad,Andhra Pradesh,510667,14,ORD1048,2024-12-10,7000,REGULAR,379,2024,12,Tuesday,0.07534246580000001
RAVI,25,ravi162@gmail.com,9436149229,Vizag,Telangana,504998,24,ORD1162,2024-12-09,12000,REGULAR,380,2024,12,Monday,0.1438356164
TEJA,29,teja104@gmail.com,9260724648,Secunderabad,Andhra Pradesh,502283,111,ORD1104,2024-12-09,55500,LOYAL,380,2024,12,Monday,0.7397260274
DEEPAK,32,deepak160@gmail.com,9333710128,Vizag,Telangana,504267,127,ORD1160,2024-12-05,63500,LOYAL,384,2024,12,Thursday,0.8493150685
KARTHIK,47,karthik126@gmail.com,9400910197,Warangal,Telangana,527570,57,ORD1126,2024-12-04,28500,REGULAR,385,2024,12,Wednesday,0.3698630137
